model,horizon,normalized_mse_mean,normalized_mse_std,normalized_mae_mean,normalized_mae_std,mse_kw2_mean,mse_kw2_std,mae_kw_mean,mae_kw_std,rmse_kw_mean,rmse_kw_std,picp_80_mean,picp_80_std,mpiw_80_kw_mean,mpiw_80_kw_std,runs,fit_windows,val_windows,test_windows,mc_samples
weather_bayesformer_uq,90,0.31873306035995486,0.006189543695876071,0.42972211837768554,0.004027395556417614,131684.29595947266,2557.20152214232,276.21112632751465,2.588666431403878,362.869646904599,3.5205317077653717,0.8973510466988728,0.013266419413029697,1274.7738418579102,86.88210300459232,5,734,73,276,30
transformer,90,0.3190872490406036,0.019397051240163516,0.4304809272289276,0.016285214702517665,131830.6283569336,8013.877710475049,276.69885063171387,10.4675846729051,362.95550040666615,10.835882605963876,,,,,5,734,73,276,1
lstm,90,0.3232907533645629,0.005698668215573081,0.4362549722194672,0.004644458503625315,133567.30041503906,2354.4039611502167,280.4102096557617,2.985297838025874,365.45719373860936,3.2287690648981178,,,,,5,734,73,276,1
transformer,365,0.34203165173530575,0.009724261381801678,0.45927669405937194,0.006610095549405444,158245.10375976562,4499.055954408892,312.3966865539551,4.496123966208726,397.7680939255334,5.662068373582468,,,,,5,256,1,1,1
weather_bayesformer_uq,365,0.3637139737606048,0.01622006631116737,0.4729426264762878,0.015245411743611216,168276.7007446289,7504.414078621711,321.692138671875,10.369783240960263,410.135228090538,9.068863197172867,0.6915068493150685,0.09574548735401732,845.6053047180176,198.75513161645517,5,256,1,1,30
lstm,365,0.3677786648273468,0.008883826055681259,0.474212247133255,0.0071016617047304775,170157.2882080078,4110.214526425246,322.5557384490967,4.8304898789793285,412.4771949860763,4.9814436193452565,,,,,5,256,1,1,1
